Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,"AI Impact",Tasks,"AI models",AI_Workload_Ratio,Domain
"Cybersecurity Analyst",Entertainment,Small,Dubai,Medium,High,"UX/UI Design",111392,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Technology,Large,Singapore,Medium,High,Marketing,93792.6,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.9,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Education,Large,"San Francisco",Medium,Medium,Cybersecurity,102825,No,Growth,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Technology,Small,Dubai,Medium,Low,"Machine Learning",86607.3,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Finance,Small,London,High,High,Python,91567,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Product Manager",Finance,Medium,Singapore,High,High,JavaScript,101002,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Software Engineer",Manufacturing,Medium,Singapore,High,Medium,"Machine Learning",78401.3,No,Decline,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Finance,Large,"San Francisco",Medium,High,"UX/UI Design",97645.1,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Software Engineer",Entertainment,Small,Dubai,Low,Low,"UX/UI Design",73920.5,Yes,Growth,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Manufacturing,Small,Dubai,Medium,High,JavaScript,81794.4,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"UX Designer",Retail,Small,Tokyo,High,Medium,Cybersecurity,41495.7,No,Decline,50,129,993,0.129909,"Communication & PR"
"Product Manager",Manufacturing,Medium,Paris,Medium,Medium,"Data Analysis",89396.6,Yes,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Transportation,Medium,"San Francisco",Low,Low,"UX/UI Design",88539.3,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Entertainment,Medium,Sydney,Low,Low,Sales,112234,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"UX Designer",Transportation,Large,Tokyo,Medium,High,"UX/UI Design",95762.5,No,Decline,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Telecommunications,Small,"New York",High,High,Marketing,84272.2,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Telecommunications,Large,"San Francisco",Low,Medium,Python,96548.4,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Transportation,Medium,Dubai,High,Medium,"Project Management",46705.7,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Transportation,Small,Dubai,Medium,Low,"Machine Learning",97849.3,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Entertainment,Small,"San Francisco",Medium,High,"Machine Learning",112988,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Telecommunications,Small,Dubai,Low,High,"Project Management",101463,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Software Engineer",Telecommunications,Small,"New York",High,High,Python,103458,Yes,Stable,60,133,1342,0.0991058,"Communication & PR"
"Marketing Specialist",Technology,Medium,Sydney,Medium,Medium,"Machine Learning",86711.7,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Education,Small,Dubai,Medium,Low,"UX/UI Design",97443.4,Yes,Decline,25,232,1461,0.158795,"Communication & PR"
"Software Engineer",Transportation,Small,London,Low,Low,"UX/UI Design",78250,Yes,Growth,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Energy,Medium,Dubai,Low,Low,JavaScript,83131.8,Yes,Decline,50,129,993,0.129909,"Communication & PR"
"Operations Manager",Telecommunications,Small,"New York",Medium,Medium,"Project Management",129294,No,Stable,25,232,1461,0.158795,"Communication & PR"
"UX Designer",Entertainment,Large,Singapore,Low,Medium,Python,73836.1,No,Decline,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.4,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Marketing Specialist",Healthcare,Medium,Paris,Low,Medium,Python,83784.9,Yes,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Finance,Large,Tokyo,Medium,Low,Sales,92027.1,No,Growth,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Energy,Medium,Paris,Low,Medium,"UX/UI Design",68352.7,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Software Engineer",Technology,Large,Singapore,Medium,Low,"Project Management",105771,Yes,Decline,60,133,1342,0.0991058,"Communication & PR"
"Marketing Specialist",Retail,Large,Toronto,Medium,High,JavaScript,91646.6,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Software Engineer",Technology,Small,Paris,Low,High,Sales,103181,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Transportation,Large,Paris,High,High,Cybersecurity,84489.8,No,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Product Manager",Entertainment,Large,Tokyo,Medium,High,"Machine Learning",108280,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"UX Designer",Retail,Large,Toronto,Low,Medium,"Project Management",71031.1,Yes,Stable,50,129,993,0.129909,"Communication & PR"
"Marketing Specialist",Retail,Large,"San Francisco",High,High,Sales,118238,No,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Product Manager",Education,Medium,Berlin,Low,Low,JavaScript,78981.8,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Software Engineer",Finance,Small,"San Francisco",High,Medium,"UX/UI Design",56076.4,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Education,Large,Toronto,Medium,High,"Project Management",83429.3,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Transportation,Medium,"San Francisco",Low,Low,JavaScript,81160.6,Yes,Stable,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Telecommunications,Small,"New York",High,Medium,Marketing,83278.5,No,Stable,50,129,993,0.129909,"Communication & PR"
"Marketing Specialist",Telecommunications,Small,Singapore,Low,Medium,Marketing,94633,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Transportation,Small,Dubai,Medium,Medium,Sales,86165.9,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Finance,Large,"San Francisco",Low,Low,"Project Management",76167.6,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Software Engineer",Retail,Medium,Sydney,High,Medium,Cybersecurity,52243.5,Yes,Stable,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Transportation,Small,Paris,Low,Medium,"UX/UI Design",73532.8,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"Operations Manager",Technology,Large,Singapore,Medium,Medium,Python,102574,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Operations Manager",Finance,Small,"San Francisco",Low,Medium,Cybersecurity,65470.4,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Entertainment,Small,Tokyo,Low,Low,Marketing,125422,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Operations Manager",Technology,Small,Sydney,Low,Low,Sales,126752,No,Decline,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Entertainment,Medium,Berlin,Medium,Low,Sales,101820,No,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Energy,Medium,Berlin,Low,High,Sales,129825,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Education,Small,"San Francisco",High,Low,"Data Analysis",105370,No,Stable,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Manufacturing,Small,"New York",High,Medium,Cybersecurity,105779,No,Decline,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Retail,Large,Sydney,High,Medium,"UX/UI Design",101326,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"UX Designer",Finance,Medium,Dubai,Low,High,"Project Management",102715,No,Stable,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Retail,Medium,"San Francisco",High,High,Cybersecurity,75862.9,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Entertainment,Small,"San Francisco",High,High,"Project Management",89145.9,No,Decline,50,129,993,0.129909,"Communication & PR"
"Operations Manager",Healthcare,Small,Berlin,Medium,Low,JavaScript,106982,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Entertainment,Small,London,High,High,Cybersecurity,125456,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Technology,Small,Berlin,Medium,Medium,Python,132529,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"Software Engineer",Manufacturing,Large,"New York",Medium,Medium,Python,106800,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Education,Medium,Sydney,High,Low,Python,129632,No,Growth,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Education,Small,London,Low,Medium,Cybersecurity,76583.3,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Cybersecurity Analyst",Finance,Medium,Paris,Medium,Medium,JavaScript,102594,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Product Manager",Education,Medium,Berlin,Low,Low,"Machine Learning",90427.6,Yes,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Data Scientist",Manufacturing,Medium,London,Medium,High,Communication,112457,No,Decline,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,96020.9,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"UX Designer",Telecommunications,Small,Berlin,Low,Low,Python,93313.2,No,Decline,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Healthcare,Large,Sydney,High,High,"UX/UI Design",82338.3,No,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Cybersecurity Analyst",Manufacturing,Large,London,Low,High,Python,98992.2,No,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Entertainment,Large,"New York",Medium,High,Cybersecurity,93969.7,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"UX Designer",Retail,Medium,Dubai,Medium,High,"Machine Learning",58580.1,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"UX Designer",Education,Medium,Tokyo,High,Low,"Project Management",89687,No,Growth,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Entertainment,Medium,Berlin,Low,Low,Marketing,79122.6,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Technology,Medium,Sydney,Medium,Low,"UX/UI Design",110712,No,Decline,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Manufacturing,Small,London,High,Low,Marketing,74286.4,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Marketing Specialist",Retail,Large,Singapore,Medium,Medium,"Project Management",99112.4,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Education,Medium,London,Medium,High,Cybersecurity,92153.9,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Cybersecurity Analyst",Healthcare,Large,"New York",High,High,"Project Management",98235.7,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Finance,Small,Paris,Medium,Medium,Cybersecurity,63848.5,No,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Manufacturing,Small,Sydney,Medium,High,Cybersecurity,93833.2,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Product Manager",Healthcare,Large,London,High,High,Python,58864.7,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Software Engineer",Telecommunications,Large,"New York",Medium,High,Communication,88847.8,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Energy,Large,Singapore,High,Low,Marketing,112465,No,Growth,50,129,993,0.129909,"Communication & PR"
"Operations Manager",Healthcare,Large,Dubai,Medium,Medium,Communication,96032.4,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Product Manager",Transportation,Small,Dubai,Medium,Low,Cybersecurity,42486.7,Yes,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Marketing Specialist",Energy,Medium,Singapore,Low,Low,"UX/UI Design",101965,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"UX Designer",Technology,Small,"New York",Low,Medium,Marketing,74766.2,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Education,Large,Tokyo,Low,Medium,Marketing,96197.5,No,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Technology,Small,Dubai,High,High,Python,89411.3,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Healthcare,Large,"San Francisco",High,Low,JavaScript,135567,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Technology,Large,Berlin,Low,High,"Data Analysis",100934,No,Decline,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Manufacturing,Small,Toronto,High,Low,"Data Analysis",87747.5,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"Operations Manager",Telecommunications,Large,London,Medium,Medium,"Data Analysis",59806.1,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Operations Manager",Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,92422.9,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"Marketing Specialist",Education,Large,Dubai,Medium,Medium,Python,106465,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Technology,Medium,Paris,Low,Low,JavaScript,88389,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Healthcare,Large,Berlin,Low,Low,"Machine Learning",78548.3,No,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Product Manager",Entertainment,Small,Singapore,High,High,"Project Management",100703,No,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Technology,Small,"New York",Low,High,JavaScript,117224,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Transportation,Large,Berlin,High,High,Python,100520,No,Decline,70,180,1091,0.164986,"Data & IT"
"UX Designer",Technology,Medium,Sydney,Low,High,"Project Management",88155.3,No,Stable,50,129,993,0.129909,"Communication & PR"
"Product Manager",Manufacturing,Medium,Sydney,Low,Medium,Marketing,98153.1,No,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Finance,Small,Tokyo,Low,Low,"UX/UI Design",68850.6,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"Marketing Specialist",Manufacturing,Large,Tokyo,Medium,Low,Communication,75003.8,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Transportation,Small,"San Francisco",Medium,Low,"Data Analysis",119717,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Manufacturing,Large,Dubai,Medium,Low,"Project Management",85588.5,No,Growth,70,180,1091,0.164986,"Data & IT"
"UX Designer",Manufacturing,Small,Dubai,High,Low,Communication,96120.3,No,Decline,50,129,993,0.129909,"Communication & PR"
"Marketing Specialist",Manufacturing,Large,"New York",Low,Medium,"Data Analysis",111093,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Telecommunications,Small,Dubai,Low,Low,"Project Management",99268.9,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Software Engineer",Telecommunications,Medium,Tokyo,Medium,Medium,Sales,100930,Yes,Stable,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Technology,Small,"San Francisco",Low,Medium,"UX/UI Design",47666.7,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Entertainment,Small,Singapore,Low,High,"Project Management",99372.1,No,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Finance,Medium,Sydney,Medium,High,Sales,91321.9,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Retail,Large,Singapore,Low,Low,"Machine Learning",73105.7,No,Stable,70,180,1091,0.164986,"Data & IT"
"Software Engineer",Technology,Medium,Dubai,Medium,Low,"Data Analysis",73638.3,Yes,Growth,60,133,1342,0.0991058,"Communication & PR"
"Software Engineer",Technology,Large,Sydney,Low,Medium,Sales,107677,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Energy,Large,London,Low,Low,"Project Management",85644.5,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Cybersecurity Analyst",Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,89856,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Transportation,Small,"New York",Low,Low,Python,31969.5,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Telecommunications,Medium,Singapore,Low,High,"UX/UI Design",130007,No,Stable,70,180,1091,0.164986,"Data & IT"
"Software Engineer",Healthcare,Small,Sydney,High,Low,Python,94838.7,No,Decline,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Education,Small,"New York",Medium,Medium,Communication,81549.2,Yes,Decline,50,129,993,0.129909,"Communication & PR"
"Product Manager",Finance,Large,Paris,High,Medium,"Machine Learning",114894,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Cybersecurity Analyst",Healthcare,Medium,Dubai,Medium,Medium,"Machine Learning",51676.7,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Technology,Medium,"San Francisco",Medium,High,Python,112524,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Education,Small,"New York",High,High,"UX/UI Design",84526.1,No,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Entertainment,Medium,"New York",High,Medium,Cybersecurity,103150,No,Decline,70,180,1091,0.164986,"Data & IT"
"Product Manager",Technology,Large,"New York",Medium,Medium,"UX/UI Design",98828.4,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Marketing Specialist",Manufacturing,Small,Berlin,Medium,Medium,Sales,60768.9,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Software Engineer",Healthcare,Medium,Paris,Low,Low,"Data Analysis",99835.9,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Finance,Large,Sydney,Medium,Low,JavaScript,124041,No,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Product Manager",Transportation,Small,Toronto,High,Medium,"Project Management",53511.2,No,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Data Scientist",Education,Medium,"San Francisco",Low,Low,Marketing,74767.1,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"Operations Manager",Healthcare,Small,Sydney,Medium,Low,"UX/UI Design",86364.5,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"Product Manager",Education,Medium,Toronto,Medium,High,"Machine Learning",93466.8,No,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Marketing Specialist",Healthcare,Small,Paris,Low,Medium,Communication,86956,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Marketing Specialist",Healthcare,Large,"San Francisco",High,High,"Data Analysis",83680.8,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"UX Designer",Healthcare,Medium,Paris,Medium,Low,"Project Management",103240,No,Decline,50,129,993,0.129909,"Communication & PR"
"Marketing Specialist",Education,Medium,Dubai,Medium,High,Cybersecurity,109663,No,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Technology,Medium,London,High,High,Communication,76873.8,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Energy,Medium,Sydney,High,Medium,"UX/UI Design",74146.1,Yes,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Transportation,Small,Singapore,Medium,High,Sales,104922,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Telecommunications,Small,Sydney,Low,High,JavaScript,57499.3,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Technology,Large,Toronto,Low,High,Cybersecurity,83668.8,No,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Software Engineer",Manufacturing,Small,Singapore,High,High,Marketing,61884.9,No,Decline,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Telecommunications,Medium,Dubai,High,Low,Cybersecurity,87820.5,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Operations Manager",Energy,Medium,Dubai,Medium,Medium,"Machine Learning",110679,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Operations Manager",Technology,Small,"San Francisco",High,Medium,Marketing,76940.8,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Software Engineer",Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,114268,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"Cybersecurity Analyst",Technology,Small,Toronto,Medium,Low,"Machine Learning",91263.6,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Retail,Medium,Berlin,Medium,Low,Cybersecurity,116208,No,Growth,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Manufacturing,Small,Sydney,Low,Low,Python,89023.8,No,Stable,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Healthcare,Small,Paris,Medium,Medium,JavaScript,97369.7,No,Decline,50,129,993,0.129909,"Communication & PR"
"Operations Manager",Education,Small,Sydney,Low,Low,"Project Management",86409.8,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Marketing Specialist",Manufacturing,Medium,Paris,Low,High,Communication,109060,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Healthcare,Medium,London,Medium,High,"Data Analysis",45848.7,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Software Engineer",Finance,Large,Singapore,Low,Medium,"Project Management",138448,Yes,Growth,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Entertainment,Small,Paris,High,Low,Python,107155,No,Decline,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Education,Small,Toronto,Medium,High,"Machine Learning",72671.6,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Energy,Large,Singapore,Medium,Low,Cybersecurity,102912,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"Operations Manager",Retail,Small,London,Medium,Low,"Data Analysis",109900,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Marketing Specialist",Entertainment,Medium,Berlin,Low,Low,Python,68323.8,Yes,Stable,20,281,2181,0.12884,"Leadership & Strategy"
