Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,"AI Impact",Tasks,"AI models",AI_Workload_Ratio,Domain
"Product Manager",Finance,Small,Toronto,Low,Low,Python,101822,No,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Data Scientist",Telecommunications,Large,Toronto,Low,Medium,"Machine Learning",72921.2,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Finance,Small,"San Francisco",Low,High,Cybersecurity,82827.8,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Manufacturing,Small,Sydney,Medium,Medium,"Project Management",73518.8,No,Growth,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Healthcare,Small,London,High,Low,Communication,74977.5,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Product Manager",Telecommunications,Medium,Sydney,Low,Low,Sales,66566.6,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Marketing Specialist",Manufacturing,Medium,Dubai,High,Low,"Project Management",64200.3,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Technology,Medium,London,Medium,Medium,Sales,92665.1,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Operations Manager",Entertainment,Small,London,High,Low,Communication,105506,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"Software Engineer",Telecommunications,Large,London,Medium,High,"Machine Learning",62093.3,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"Software Engineer",Healthcare,Small,Sydney,Low,Medium,Communication,45186.5,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"Software Engineer",Technology,Large,"New York",High,Low,"Machine Learning",84124.1,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Telecommunications,Medium,Toronto,Medium,Low,Communication,92891.9,No,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Telecommunications,Small,Tokyo,High,Medium,"Project Management",93440.3,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Marketing Specialist",Entertainment,Large,Paris,High,Medium,Marketing,68813.8,No,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Entertainment,Large,Dubai,High,Medium,Sales,104261,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Education,Small,Berlin,High,Medium,JavaScript,109203,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Energy,Large,Tokyo,Low,Low,"Data Analysis",65884.8,No,Stable,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Telecommunications,Large,Berlin,Medium,Low,Python,84511.2,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Energy,Large,"New York",Medium,Medium,Sales,88642.4,No,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Finance,Medium,Singapore,High,Medium,"Machine Learning",67722.9,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Retail,Medium,Berlin,Medium,Medium,"Machine Learning",104747,No,Stable,70,180,1091,0.164986,"Data & IT"
"Product Manager",Education,Small,Tokyo,High,High,Python,122683,Yes,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Cybersecurity Analyst",Telecommunications,Medium,"San Francisco",High,Low,"Data Analysis",47132.7,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Product Manager",Transportation,Large,Berlin,Low,High,Sales,86342,No,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Product Manager",Energy,Large,"San Francisco",High,Medium,"Machine Learning",50698,No,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Product Manager",Healthcare,Large,"San Francisco",High,High,Marketing,41298.7,No,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Product Manager",Energy,Small,Sydney,High,High,"Project Management",82017,No,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Software Engineer",Transportation,Large,Paris,Low,High,"Data Analysis",99722.6,Yes,Decline,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Transportation,Large,London,Medium,High,Communication,91078.4,No,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Healthcare,Medium,Paris,High,Low,Python,148467,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Finance,Medium,"San Francisco",High,Medium,Marketing,43343.2,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Entertainment,Small,Tokyo,Low,Medium,"Project Management",86384.8,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Transportation,Small,"New York",High,Medium,Python,51033.1,No,Stable,70,180,1091,0.164986,"Data & IT"
"Product Manager",Telecommunications,Small,Paris,Medium,Low,"Project Management",83940.9,No,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Entertainment,Small,Berlin,Medium,Medium,JavaScript,110222,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Education,Small,"San Francisco",High,Low,"Project Management",90129.6,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Technology,Large,Tokyo,High,Medium,Sales,80591.8,No,Decline,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Retail,Medium,Sydney,High,Low,"UX/UI Design",90541.1,No,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Retail,Large,Sydney,Medium,Medium,Communication,76744.3,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Telecommunications,Medium,Dubai,Medium,Low,"Project Management",80073.9,No,Stable,70,180,1091,0.164986,"Data & IT"
"Software Engineer",Entertainment,Medium,Singapore,Low,High,Marketing,81307.1,Yes,Decline,60,133,1342,0.0991058,"Communication & PR"
"Operations Manager",Healthcare,Large,Berlin,Low,Low,"Machine Learning",103526,Yes,Growth,25,232,1461,0.158795,"Communication & PR"
"UX Designer",Retail,Small,"San Francisco",Medium,Medium,Cybersecurity,87252.9,Yes,Stable,50,129,993,0.129909,"Communication & PR"
"Product Manager",Education,Large,Toronto,Low,High,"Machine Learning",110181,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"UX Designer",Healthcare,Large,Sydney,Medium,Medium,Python,86291.4,No,Stable,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Finance,Medium,"San Francisco",High,High,"Project Management",85332.7,Yes,Decline,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Telecommunications,Small,London,Low,Medium,"Machine Learning",114751,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Cybersecurity Analyst",Entertainment,Large,Tokyo,Medium,High,"Data Analysis",66782.6,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Software Engineer",Manufacturing,Small,Tokyo,Medium,High,Sales,93294.9,Yes,Decline,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Education,Large,"New York",High,Low,Sales,89189.6,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Retail,Medium,Dubai,Low,High,"Machine Learning",104019,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Telecommunications,Large,Dubai,Medium,High,Sales,107103,Yes,Stable,50,129,993,0.129909,"Communication & PR"
"Data Scientist",Healthcare,Large,Berlin,High,Medium,Marketing,95276.8,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Education,Small,Paris,High,Low,Python,99467.5,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Operations Manager",Manufacturing,Large,London,Low,Low,Cybersecurity,116713,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Product Manager",Entertainment,Small,Sydney,Low,High,JavaScript,89454.2,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Cybersecurity Analyst",Technology,Medium,Paris,Low,Low,"UX/UI Design",84654.9,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Manufacturing,Medium,Paris,Low,High,Communication,97763.4,Yes,Decline,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Education,Small,Singapore,Medium,High,Sales,90774.5,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Manufacturing,Medium,"New York",Medium,Medium,Python,63245.8,No,Growth,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Education,Large,Berlin,Low,Medium,"Project Management",63064.8,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Operations Manager",Transportation,Large,Dubai,Low,Medium,Communication,97489.6,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"UX Designer",Energy,Small,Singapore,Low,High,Sales,90737.5,No,Stable,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Transportation,Small,Sydney,Low,High,Marketing,97811.9,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Entertainment,Medium,Berlin,Low,Low,Communication,139078,Yes,Decline,25,232,1461,0.158795,"Communication & PR"
"Marketing Specialist",Transportation,Large,Singapore,High,High,JavaScript,104855,No,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Marketing Specialist",Finance,Medium,Tokyo,Low,High,Sales,117296,No,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Finance,Large,Tokyo,High,Medium,Python,127435,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Retail,Medium,"New York",High,Low,"UX/UI Design",68665.6,No,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Software Engineer",Energy,Small,Dubai,Low,Low,"Project Management",87667.4,Yes,Stable,60,133,1342,0.0991058,"Communication & PR"
"Software Engineer",Education,Medium,Dubai,Medium,High,"Data Analysis",75538.2,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Cybersecurity Analyst",Healthcare,Medium,Sydney,Medium,Low,Python,81978.8,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Product Manager",Retail,Large,Berlin,Medium,High,"Project Management",127413,No,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Education,Large,"San Francisco",High,Medium,"Data Analysis",72482,Yes,Decline,25,232,1461,0.158795,"Communication & PR"
"UX Designer",Education,Small,Singapore,Low,Medium,"Project Management",117491,No,Decline,50,129,993,0.129909,"Communication & PR"
"Product Manager",Technology,Large,Tokyo,Low,Medium,JavaScript,109106,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"UX Designer",Energy,Small,Berlin,Low,Medium,Marketing,110153,No,Growth,50,129,993,0.129909,"Communication & PR"
"UX Designer",Education,Large,Paris,Medium,High,"Project Management",49877.4,Yes,Stable,50,129,993,0.129909,"Communication & PR"
"Product Manager",Finance,Medium,"New York",Medium,Low,"UX/UI Design",128973,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Data Scientist",Entertainment,Large,Toronto,Low,High,Cybersecurity,78829.7,No,Growth,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Healthcare,Large,London,Medium,Medium,JavaScript,105559,Yes,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"UX Designer",Energy,Small,Sydney,Low,High,Python,140476,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"Product Manager",Telecommunications,Medium,Tokyo,Low,Low,Python,133107,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Product Manager",Finance,Large,Tokyo,Low,High,Python,70448.8,No,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Data Scientist",Education,Large,"New York",Low,High,Cybersecurity,118607,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Finance,Medium,Berlin,Low,Low,"Machine Learning",86742.4,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Retail,Large,Tokyo,Low,Medium,Marketing,104026,Yes,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Product Manager",Technology,Small,"San Francisco",Medium,Medium,"Data Analysis",91339.6,Yes,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Marketing Specialist",Retail,Medium,Dubai,Medium,Medium,Sales,104448,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Technology,Large,Singapore,Low,High,"Project Management",118489,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Education,Medium,Singapore,High,High,Communication,102926,Yes,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Software Engineer",Manufacturing,Large,Toronto,Medium,Low,Communication,67646.6,No,Decline,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Retail,Small,Dubai,High,Low,"Machine Learning",123993,No,Decline,50,129,993,0.129909,"Communication & PR"
"Data Scientist",Technology,Medium,Toronto,Low,Low,"UX/UI Design",104561,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"UX Designer",Energy,Large,Toronto,High,Medium,Cybersecurity,95942.5,No,Stable,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Telecommunications,Large,Berlin,Low,Medium,"UX/UI Design",33601.4,No,Stable,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Manufacturing,Small,"San Francisco",High,Medium,"Project Management",101649,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"UX Designer",Telecommunications,Medium,Toronto,Low,High,"Data Analysis",100796,Yes,Decline,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Energy,Small,"San Francisco",Low,Low,Communication,102999,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Healthcare,Medium,Tokyo,Low,Low,Python,111190,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Technology,Small,Toronto,High,Medium,Marketing,88517.5,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"UX Designer",Manufacturing,Medium,Dubai,High,Medium,Marketing,85157,No,Decline,50,129,993,0.129909,"Communication & PR"
"UX Designer",Entertainment,Medium,Sydney,Low,High,"Project Management",85073.8,No,Growth,50,129,993,0.129909,"Communication & PR"
"Data Scientist",Technology,Medium,Tokyo,Low,Low,Python,103956,No,Growth,70,180,1091,0.164986,"Data & IT"
"Software Engineer",Entertainment,Large,Sydney,High,High,JavaScript,61857.5,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Energy,Large,"San Francisco",High,Medium,"UX/UI Design",82562.5,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Education,Medium,"New York",Low,High,"Machine Learning",121912,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Technology,Large,Paris,Medium,Medium,Cybersecurity,67371.7,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Manufacturing,Large,Paris,High,Medium,Cybersecurity,84587.6,No,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Product Manager",Manufacturing,Small,"San Francisco",High,Medium,"UX/UI Design",53450.5,No,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Cybersecurity Analyst",Energy,Medium,"New York",High,Medium,Python,88903.8,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Healthcare,Large,Dubai,High,Medium,"Project Management",116519,No,Decline,50,129,993,0.129909,"Communication & PR"
"Product Manager",Technology,Small,Dubai,High,Low,Marketing,82127.8,No,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Energy,Medium,Singapore,Medium,High,"UX/UI Design",119396,No,Decline,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Energy,Small,"New York",Low,Low,JavaScript,78283.7,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Entertainment,Medium,"New York",Medium,High,Sales,107068,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"UX Designer",Finance,Small,Tokyo,Medium,Medium,Cybersecurity,109987,No,Decline,50,129,993,0.129909,"Communication & PR"
"UX Designer",Manufacturing,Large,Tokyo,Medium,Medium,"Project Management",85258.5,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Manufacturing,Medium,Paris,Low,Low,"Project Management",98721.6,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Finance,Medium,"San Francisco",High,High,Sales,155210,Yes,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Data Scientist",Telecommunications,Small,"San Francisco",Low,Medium,"Data Analysis",88942.1,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Entertainment,Large,Singapore,Medium,Low,Python,80411.5,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Telecommunications,Small,"New York",High,High,Marketing,90053.7,No,Stable,50,129,993,0.129909,"Communication & PR"
"UX Designer",Entertainment,Small,Singapore,Medium,Medium,"Data Analysis",35963.3,No,Decline,50,129,993,0.129909,"Communication & PR"
"Product Manager",Healthcare,Medium,Singapore,High,High,Communication,99311.7,No,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Marketing Specialist",Energy,Large,Tokyo,Medium,High,"Data Analysis",97932.6,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Software Engineer",Transportation,Small,Singapore,Medium,Low,"Data Analysis",63722.8,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Marketing Specialist",Energy,Medium,Berlin,Low,Low,Communication,73964.3,Yes,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"UX Designer",Finance,Medium,"San Francisco",Low,Medium,Cybersecurity,41396.2,No,Decline,50,129,993,0.129909,"Communication & PR"
"UX Designer",Education,Medium,Sydney,Low,Medium,"Data Analysis",109578,Yes,Growth,50,129,993,0.129909,"Communication & PR"
"UX Designer",Transportation,Medium,Sydney,High,High,"Project Management",89425.8,No,Decline,50,129,993,0.129909,"Communication & PR"
"Data Scientist",Technology,Small,London,Medium,High,Cybersecurity,86925.2,No,Decline,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Technology,Small,"San Francisco",Medium,Low,Marketing,106178,No,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Healthcare,Large,Toronto,High,High,Marketing,117188,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Software Engineer",Manufacturing,Small,London,Medium,High,"Machine Learning",85217.5,Yes,Growth,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Energy,Large,"New York",Medium,High,Marketing,127392,No,Stable,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Energy,Small,Dubai,Low,Medium,Python,50286.8,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Software Engineer",Transportation,Large,Toronto,High,High,"UX/UI Design",72667.6,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Education,Small,Tokyo,High,High,"Machine Learning",101388,No,Growth,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Education,Small,"New York",Medium,High,"Project Management",101228,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Energy,Large,London,High,Low,"UX/UI Design",71987.1,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Data Scientist",Telecommunications,Large,Singapore,Low,Low,Sales,74654.3,No,Growth,70,180,1091,0.164986,"Data & IT"
"UX Designer",Technology,Large,"New York",High,Medium,Marketing,84265.6,No,Decline,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Retail,Medium,"New York",Medium,Low,Marketing,96165.2,No,Decline,60,133,1342,0.0991058,"Communication & PR"
"Software Engineer",Retail,Medium,Sydney,Low,Low,Communication,95686.5,No,Stable,60,133,1342,0.0991058,"Communication & PR"
"Cybersecurity Analyst",Entertainment,Large,London,Medium,Low,Cybersecurity,79802.8,No,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Technology,Large,Dubai,Medium,High,Sales,48518.5,No,Decline,70,180,1091,0.164986,"Data & IT"
"UX Designer",Manufacturing,Small,Paris,Low,Medium,JavaScript,85743.8,No,Growth,50,129,993,0.129909,"Communication & PR"
"UX Designer",Technology,Medium,Singapore,Medium,Low,"Data Analysis",82655.4,Yes,Stable,50,129,993,0.129909,"Communication & PR"
"UX Designer",Retail,Small,London,Low,Medium,"Data Analysis",53276.5,Yes,Stable,50,129,993,0.129909,"Communication & PR"
"UX Designer",Education,Large,Tokyo,Low,High,JavaScript,121895,No,Growth,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Healthcare,Small,Paris,High,High,"Machine Learning",77222.8,Yes,Decline,60,133,1342,0.0991058,"Communication & PR"
"Operations Manager",Manufacturing,Medium,"San Francisco",Medium,High,Sales,41810.5,No,Growth,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Telecommunications,Large,Sydney,High,High,JavaScript,121897,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Technology,Medium,Tokyo,High,Medium,Marketing,80669,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"UX Designer",Education,Small,Paris,Low,Medium,Cybersecurity,91969.3,No,Stable,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Retail,Small,Tokyo,High,Medium,Marketing,76473.9,Yes,Decline,60,133,1342,0.0991058,"Communication & PR"
"Marketing Specialist",Retail,Medium,Tokyo,Low,Medium,"Data Analysis",48773.5,No,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Energy,Large,Berlin,Low,High,Cybersecurity,101020,No,Decline,25,232,1461,0.158795,"Communication & PR"
"Operations Manager",Manufacturing,Small,Sydney,Low,Medium,"UX/UI Design",78391.7,No,Decline,25,232,1461,0.158795,"Communication & PR"
"Marketing Specialist",Retail,Small,"San Francisco",Medium,High,Python,112378,No,Stable,20,281,2181,0.12884,"Leadership & Strategy"
"UX Designer",Healthcare,Medium,Tokyo,Medium,Medium,"UX/UI Design",126678,No,Growth,50,129,993,0.129909,"Communication & PR"
"Operations Manager",Finance,Large,Toronto,High,Low,Communication,83249.4,No,Stable,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Telecommunications,Large,Berlin,Medium,Medium,Sales,73692.8,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"Marketing Specialist",Retail,Small,Berlin,High,High,Python,113977,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Software Engineer",Telecommunications,Small,Tokyo,Low,Medium,Marketing,74201.5,No,Growth,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Energy,Large,Sydney,Medium,Low,Cybersecurity,95170.4,Yes,Decline,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Education,Medium,London,Low,High,"Data Analysis",90764.7,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Cybersecurity Analyst",Energy,Medium,Berlin,Medium,High,"UX/UI Design",79936.9,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Data Scientist",Telecommunications,Medium,Berlin,Low,Medium,"Machine Learning",105821,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"Cybersecurity Analyst",Telecommunications,Small,London,Low,High,"UX/UI Design",119795,No,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Cybersecurity Analyst",Energy,Large,Dubai,High,Low,"UX/UI Design",79644.9,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Healthcare,Large,Paris,High,Low,Python,77642.1,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
